Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC
spotify:track:3Tu7uWBecS6GsLsL8UONKn,Don't Stop the Party (feat. TJR),"spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:2L8yW8GIoirHEdeW4bWQXq","Pitbull, TJR",spotify:album:2F7tejLHzTqFq2XLol9ZGy,Global Warming: Meltdown (Deluxe Version),spotify:artist:0TnOYISbd1XYRBk9myaseg,Pitbull,2012,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90,1,2,206120,https://p.scdn.co/mp3-preview/72d6b312e4cbd1fd8219427fe1e6d1f5dfd4c85f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,73,USRC11201120
spotify:track:7CvOnbFdnIoXMQ4eFCo5lB,Around the World (La La La La La) - Radio Version,"spotify:artist:5wTdspmxzb8V4ZjvDodpBo, spotify:artist:0PEfbjTw85CAN5G0lz9n3p","A Touch Of Class, Pete Konemann",spotify:album:2kBFECL9a71fNRXbRW5xO3,Planet Pop,spotify:artist:5wTdspmxzb8V4ZjvDodpBo,A Touch Of Class,11/6/2000,https://i.scdn.co/image/ab67616d0000b2732b674491e363e44f14d10f43,1,2,214533,https://p.scdn.co/mp3-preview/2b720730f72fb3ed4743c3a61e693000fdb8c633?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,DEP810000008
spotify:track:503OTo2dSqe7qk76rgsbep,Still D.R.E.,"spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Dr. Dre, Snoop Dogg",spotify:album:7q2B4M5EiBkqrlsNW8lB7N,2001,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,11/16/1999,https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5,1,4,270586,https://p.scdn.co/mp3-preview/7a1ea34238e6d08c87fc17a5c7e30321d79a7aaa?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,85,USIR19905031
spotify:track:45upEMiYeArj06RERttNFx,Black & Gold - Radio Edit,spotify:artist:0H0rBbf7vHXO3qh50Wap7y,Sam Sparro,spotify:album:37xZuo5P2QN8qL5FWZONAh,Rewind 2000's,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,11/8/2019,https://i.scdn.co/image/ab67616d0000b2733b36f6927a015f873161864b,1,8,212360,https://p.scdn.co/mp3-preview/508bf9d61c3d5b1bf612da764162bf31fe211e19?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,GBUM70800413
spotify:track:7lWF2mVr1KKbVnaT2nSlPo,Fall For You,spotify:artist:6eouuqqGggqDlYRV63cgPo,Secondhand Serenade,spotify:album:2wBnQVDlrzxFSVq0gdi0Th,A Twist In My Story,spotify:artist:6eouuqqGggqDlYRV63cgPo,Secondhand Serenade,1/15/2008,https://i.scdn.co/image/ab67616d0000b273dda4610c84728d934a150575,1,2,185600,https://p.scdn.co/mp3-preview/07b5cac66cb7ade615aa7f8a4e0b01392c64be43?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,USYAH0700007
spotify:track:6GsyZTld3PWXUuG34lcmr8,Roxanne,spotify:artist:5NGO30tJxFlKixkPSgXcFE,The Police,spotify:album:7EjdDWm76BqSQeaetbMmpv,Wedding Reception,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,10/25/2019,https://i.scdn.co/image/ab67616d0000b273661a5be2050654e3045ccebf,1,10,188840,https://p.scdn.co/mp3-preview/112adf28a42d18ecc5e437ea66444056b3e337fd?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,7,GBAAM7800003
spotify:track:7uWFUpGuEfmxYeymkV95jn,Time in a Bottle,spotify:artist:1R6Hx1tJ2VOUyodEpC12xM,Jim Croce,spotify:album:0dZaHQ0OJlIyVrEuvnXmS9,You Don't Mess Around With Jim,spotify:artist:1R6Hx1tJ2VOUyodEpC12xM,Jim Croce,4/1/1972,https://i.scdn.co/image/ab67616d0000b2735b7a6cabbcb9fe150966563c,1,8,148586,https://p.scdn.co/mp3-preview/b5d8d825de94c965b3f20157bbbb3612fcead473?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,GBAJE7200780
spotify:track:0obBFrPYkSoBJbvHfUIhkv,Sexy And I Know It,spotify:artist:3sgFRtyBnxXD5ESfmbK4dl,LMFAO,spotify:album:5EuNq3rYUESwy6Vcsz2PZe,Sorry For Party Rocking (Deluxe Version),spotify:artist:3sgFRtyBnxXD5ESfmbK4dl,LMFAO,1/1/2011,https://i.scdn.co/image/ab67616d0000b2730dfa923895a2814ae422c49a,1,4,199480,https://p.scdn.co/mp3-preview/dd70b7db98aa5b41e43172e64c39737acacd04b1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,67,USUM71108090
spotify:track:1Rvl8qsKJurfFTyWLBI9ib,"Baby, I Love Your Way",spotify:artist:0Jeckitay8SbvKwqAzWuYH,Big Mountain,spotify:album:4QHFXQLRwZx5122InHluo5,The Best of Big Mountain,spotify:artist:0Jeckitay8SbvKwqAzWuYH,Big Mountain,1/1/1999,https://i.scdn.co/image/ab67616d0000b2738dad961673a82ade27f202a8,1,1,249520,https://p.scdn.co/mp3-preview/33f0cba55205e1507d1fd3834c20ea226f14a07c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,USGI19400026
spotify:track:7jW2dcStZndF9lWRrPUvzV,Shine,spotify:artist:1bNEG4iSClCqQRyZgho3YV,Spektrem,spotify:album:1TS3cjyqnslzRJIU91kGYF,Shine,spotify:artist:1bNEG4iSClCqQRyZgho3YV,Spektrem,5/5/2013,https://i.scdn.co/image/ab67616d0000b273bf551eac553ae502d0db425f,1,1,315585,https://p.scdn.co/mp3-preview/b85bd4d81d51b36d109f430e54313e17552effbc?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,61,GB2LD0901581
